,problem_id,problem_code,assistment_id,problem_set_id,problem_set_type,problem_set_name,curriculum,grade_or_subject,unit,link,skill_codes,skill_names,problem_type,problem_body,attempts,correct_count,percent_correct,first_cwa,first_cwa_count,second_cwa,second_cwa_count,third_cwa,third_cwa_count,answer
227907,1874064.0,PRABP8CW,1308963.0,PSABHXUU,,Grade 7 Benchmark A Prep Questions,JUMP Math,Grade 7,Grade 7 Benchmarks,https://app.assistments.org/find/lv/lesson/352891/1151822,6.EE.A.3,Generate Equivalent Expressions using Properties of Operations,algebra,"<p>Join like terms.</p>
<p>&nbsp;</p>
<p>3 - 5 + 2x - 7 - 3x</p>
<!-- Attribution -->
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p style=""text-align: right;""><span style=""font-size: 10px;""><em>&nbsp;Copyright&nbsp;&copy;&nbsp;JUMP&nbsp;Math</em></span></p>",411.0,222.0,54.0,-x-9,32.0,5x+15,7.0,15+5x,5.0,-x - 9
392585,1891711.0,PRABQJ7S,1319375.0,PSABK5X4,,"3.4 Own Your Own Solving Equations Using Multiplication or Division (7.A.3.1, 7.A.3.3)",Textbook Curricula,Big Ideas Learning,Grade 7: Oklahoma Version,https://app.assistments.org/find/lv/lesson/353047/1217271,,,numeric,<p>Page 79 #4</p>,,,,,,,,,,-21
389995,1987944.0,PRABSHM2,1377446.0,PSABSZWD,Student Facing Tasks,3.4 Lesson 21 Solve Problems Using the Four Operations(3.OA.D.8),Kendall Hunt Illustrative Mathematics,Grade 3,Unit 4 - Relating Multiplication to Division,https://app.assistments.org/find/lv/lesson/360307/1392120,3.OA.D.8,Solve 2-Step Word Problems Using All Operations,open_response,"<p>Tyler and Clare are helping with a festival at an apple orchard.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><img src=""/images/assistments/470422.jpg"" alt="""" width=""263"" height=""162"" /></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>Tyler is stacking apples to sell at the event. There are 85 apples for his display. He has already made 5 rows of 10 apples. How many apples are left?</p>
<p>&nbsp;</p>
<p>Write an equation with a letter for the unknown quantity to represent this situation.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><span data-sheets-formula-bar-text-style=""font-size:13px;color:#000000;font-weight:normal;text-decoration:none;font-family:'docs-Montserrat';font-style:normal;text-decoration-skip-ink:none;"">&copy; 2021&nbsp;</span><a class=""waffle-rich-text-link"" data-sheets-formula-bar-text-link=""https://illustrativemathematics.org/"" data-sheets-formula-bar-text-style=""font-size:13px;color:#1155cc;font-weight:normal;text-decoration:underline;font-family:'docs-Montserrat';font-style:normal;text-decoration-skip-ink:none;"">Illustrative Mathematics&reg;</a><span data-sheets-formula-bar-text-style=""font-size:13px;color:#0056b3;font-weight:normal;text-decoration:underline;font-family:'docs-Montserrat';font-style:normal;text-decoration-skip-ink:none;"">.&nbsp;</span><span data-sheets-formula-bar-text-style=""font-size:13px;color:#000000;font-weight:normal;text-decoration:none;font-family:'docs-Montserrat';font-style:normal;text-decoration-skip-ink:none;"">All Rights Reserved.</span></p>",33.0,0.0,0.0,,,,,,,
295261,60060.0,PRABJKU,37775.0,PSAGH7,,(6.RP.A.1) Finding the Ratio Skill Builder,Skill Builders,Grade 6,(RP) Ratios and Proportional Relationships,https://app.assistments.org/find/lv/lesson/328760/6011,6.RP.A.1,Understand & Describe Ratios,fill_in_1,"<p>At the pet shop there are 840 cats and 210 dogs, for a total of 1,050 pets all together. &nbsp; What is the ratio of pets to cats?&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>Give&nbsp;the&nbsp;ratio in&nbsp;reduced form.<br /><br /></p>
<p><span style=""font-weight: 400;"">Type your answer in the format:</span></p>
<p><strong>3:4</strong><span style=""font-weight: 400;"">&nbsp;with no spaces.</span></p>",64.0,23.0,35.9,4:1,2.0,5:1,2.0,1050:840,2.0,"5 : 4, 5 :4, 5: 4, 5:4"
429771,1979343.0,PRABSBX2,1371990.0,PSABSQ3T,,JUMP Math Fundamentals -- Grade 9 Pre-Test,JUMP Math,JUMP Math Fundamentals,Pre-Tests,https://app.assistments.org/find/lv/lesson/359791/1383639,,,choose_1,"<p>Find the y-coordinate of the function with formula <em>y</em> = 3<em>x</em> + 2 when <em>x</em> = &ndash; 2</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p style=""text-align: right;""><span style=""font-size: 8pt;"">Copyright @JUMP Math</span></p>",75.0,52.0,69.3,3,11.0,30,1.0,,,-4
380861,1507633.0,PRABET9N,1059002.0,PSABM5S5,Practice Problems,Acc7.4 Lesson 5 Efficiently Solving Inequalities (7.EE.B.4.b),Kendall Hunt Illustrative Mathematics,Grade 7 Accelerated,"Unit 4 - Inequalities, Expressions, and Equations		",https://app.assistments.org/find/lv/lesson/356910/1246908,7.EE.B.4b-1,Solve 2-Step Inequality Word Problems,open_response,"<p>Complete the table to check your prediction.</p>
<p>&nbsp;</p>
<p><img id=""mce_4"" src=""/images/assistments/188479.jpg"" width=""667"" height=""110"" /></p>
<p>&nbsp;</p>
<p>Create and fill in the table using the table button&nbsp;<img src=""/images/assistments/100956.jpg"" alt="""" width=""48"" height=""35"" />.</p>",6515.0,249.0,3.8,,,,,,,
127338,765303.0,PRATSKQ,491363.0,PSAG9PY,,Chapter 2 Test,Textbook Curricula,Holt McDougal Littell,Pre-Algebra (2012),https://app.assistments.org/find/lv/lesson/328961/207969,,,open_response,"<p>Page 112 #26</p>
<p>Write an equation.</p>",94.0,0.0,0.0,,,,,,,
222828,2021098.0,PRABS5CK,1395443.0,PSABS8S7,"Ready, Set, Go","Alg2.7 Lesson 5 Maintaining Your Identity (HSF-IF.C.8, HSF-TF.A.3(+), HSF-TF.A.4(+), HSF-TF.C.8, HSG-SRT.C.7)",Open Up Resources,Algebra 2,"Unit 7 - Trigonometric Functions, Equations, and Identities",https://app.assistments.org/find/lv/lesson/361764/1398748,HSF.TF.C.8,"Prove the Pythagorean Identity and Use it to Find Sine, Cosine, & Tangent",numeric,"<p>Find two solutions in degrees and two solutions in radians for each equation.&nbsp;<span class=""latex-expression inline-latex""><img id=""mce_1"" class=""Wirisformula"" style=""max-width: none; vertical-align: -2px;"" src=""/pluginwiris_engine/app/showimage?formula=173b22b99ca5f6674d0785dff7f42508&amp;cw=105&amp;ch=16&amp;cb=14"" width=""105"" height=""16"" align=""middle"" data-custom-editor=""R"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mrow data-mjx-texclass=&uml;INNER&uml; data-semantic-type=&uml;fenced&uml; data-semantic-role=&uml;leftright&uml; data-semantic-=&uml;&uml; data-semantic-children=&uml;11&uml; data-semantic-content=&uml;0,8&uml; data-semantic-speech=&uml;left parenthesis 0 degree less than or equals theta less than or equals 360 degree right parenthesis&uml;&raquo;&laquo;mo data-mjx-texclass=&uml;OPEN&uml; data-semantic-type=&uml;fence&uml; data-semantic-role=&uml;open&uml; data-semantic-=&uml;&uml; data-semantic-parent=&uml;12&uml; data-semantic-operator=&uml;fenced&uml;&raquo;(&laquo;/mo&raquo;&laquo;mrow data-semantic-type=&uml;punctuated&uml; data-semantic-role=&uml;sequence&uml; data-semantic-=&uml;&uml; data-semantic-children=&uml;1,2,10,7&uml; data-semantic-content=&uml;2,7&uml; data-semantic-parent=&uml;12&uml;&raquo;&laquo;mn data-semantic-type=&uml;number&uml; data-semantic-role=&uml;integer&uml; data-semantic-font=&uml;normal&uml; data-semantic-annotation=&uml;clearspeak:simple&uml; data-semantic-=&uml;&uml; data-semantic-parent=&uml;11&uml;&raquo;0&laquo;/mn&raquo;&laquo;mrow data-mjx-texclass=&uml;ORD&uml;&raquo;&laquo;mo data-mjx-pseudoscript=&uml;true&uml; data-semantic-type=&uml;punctuation&uml; data-semantic-role=&uml;degree&uml; data-semantic-=&uml;&uml; data-semantic-parent=&uml;11&uml; data-semantic-operator=&uml;punctuated&uml;&raquo;&sect;#176;&laquo;/mo&raquo;&laquo;/mrow&raquo;&laquo;mrow data-semantic-type=&uml;relseq&uml; data-semantic-role=&uml;inequality&uml; data-semantic-=&uml;&uml; data-semantic-children=&uml;9,4,6&uml; data-semantic-content=&uml;3,5&uml; data-semantic-parent=&uml;11&uml;&raquo;&laquo;mrow data-semantic-type=&uml;empty&uml; data-semantic-role=&uml;unknown&uml; data-semantic-=&uml;&uml; data-semantic-parent=&uml;10&uml;&raquo;&laquo;/mrow&raquo;&laquo;mo data-semantic-type=&uml;relation&uml; data-semantic-role=&uml;inequality&uml; data-semantic-=&uml;&uml; data-semantic-parent=&uml;10&uml; data-semantic-operator=&uml;relseq,&sect;#8804;&uml;&raquo;&sect;#8804;&laquo;/mo&raquo;&laquo;mi data-semantic-type=&uml;identifier&uml; data-semantic-role=&uml;greekletter&uml; data-semantic-font=&uml;italic&uml; data-semantic-annotation=&uml;clearspeak:simple&uml; data-semantic-=&uml;&uml; data-semantic-parent=&uml;10&uml;&raquo;&sect;#952;&laquo;/mi&raquo;&laquo;mo data-semantic-type=&uml;relation&uml; data-semantic-role=&uml;inequality&uml; data-semantic-=&uml;&uml; data-semantic-parent=&uml;10&uml; data-semantic-operator=&uml;relseq,&sect;#8804;&uml;&raquo;&sect;#8804;&laquo;/mo&raquo;&laquo;mn data-semantic-type=&uml;number&uml; data-semantic-role=&uml;integer&uml; data-semantic-font=&uml;normal&uml; data-semantic-annotation=&uml;clearspeak:simple&uml; data-semantic-=&uml;&uml; data-semantic-parent=&uml;10&uml;&raquo;360&laquo;/mn&raquo;&laquo;/mrow&raquo;&laquo;mrow data-mjx-texclass=&uml;ORD&uml;&raquo;&laquo;mo data-mjx-pseudoscript=&uml;true&uml; data-semantic-type=&uml;punctuation&uml; data-semantic-role=&uml;degree&uml; data-semantic-=&uml;&uml; data-semantic-parent=&uml;11&uml; data-semantic-operator=&uml;punctuated&uml;&raquo;&sect;#176;&laquo;/mo&raquo;&laquo;/mrow&raquo;&laquo;/mrow&raquo;&laquo;mo data-mjx-texclass=&uml;CLOSE&uml; data-semantic-type=&uml;fence&uml; data-semantic-role=&uml;close&uml; data-semantic-=&uml;&uml; data-semantic-parent=&uml;12&uml; data-semantic-operator=&uml;fenced&uml;&raquo;)&laquo;/mo&raquo;&laquo;/mrow&raquo;&laquo;/math&raquo;"" /></span>&nbsp;and&nbsp;<span class=""no-wrap""><span class=""latex-expression inline-latex""><img id=""mce_2"" class=""Wirisformula"" style=""max-width: none; vertical-align: -2px;"" src=""/pluginwiris_engine/app/showimage?formula=78d51b27957eea2eaf265092c050b1f1&amp;cw=86&amp;ch=16&amp;cb=14"" width=""86"" height=""16"" align=""middle"" data-custom-editor=""R"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mrow data-mjx-texclass=&uml;INNER&uml; data-semantic-type=&uml;fenced&uml; data-semantic-role=&uml;leftright&uml; data-semantic-=&uml;&uml; data-semantic-children=&uml;10&uml; data-semantic-content=&uml;0,7&uml; data-semantic-speech=&uml;left parenthesis 0 less than or equals theta less than or equals 2 pi right parenthesis&uml;&raquo;&laquo;mo data-mjx-texclass=&uml;OPEN&uml; data-semantic-type=&uml;fence&uml; data-semantic-role=&uml;open&uml; data-semantic-=&uml;&uml; data-semantic-parent=&uml;11&uml; data-semantic-operator=&uml;fenced&uml;&raquo;(&laquo;/mo&raquo;&laquo;mrow data-semantic-type=&uml;relseq&uml; data-semantic-role=&uml;inequality&uml; data-semantic-=&uml;&uml; data-semantic-children=&uml;1,3,9&uml; data-semantic-content=&uml;2,4&uml; data-semantic-parent=&uml;11&uml;&raquo;&laquo;mn data-semantic-type=&uml;number&uml; data-semantic-role=&uml;integer&uml; data-semantic-font=&uml;normal&uml; data-semantic-annotation=&uml;clearspeak:simple&uml; data-semantic-=&uml;&uml; data-semantic-parent=&uml;10&uml;&raquo;0&laquo;/mn&raquo;&laquo;mo data-semantic-type=&uml;relation&uml; data-semantic-role=&uml;inequality&uml; data-semantic-=&uml;&uml; data-semantic-parent=&uml;10&uml; data-semantic-operator=&uml;relseq,&sect;#8804;&uml;&raquo;&sect;#8804;&laquo;/mo&raquo;&laquo;mi data-semantic-type=&uml;identifier&uml; data-semantic-role=&uml;greekletter&uml; data-semantic-font=&uml;italic&uml; data-semantic-annotation=&uml;clearspeak:simple&uml; data-semantic-=&uml;&uml; data-semantic-parent=&uml;10&uml;&raquo;&sect;#952;&laquo;/mi&raquo;&laquo;mo data-semantic-type=&uml;relation&uml; data-semantic-role=&uml;inequality&uml; data-semantic-=&uml;&uml; data-semantic-parent=&uml;10&uml; data-semantic-operator=&uml;relseq,&sect;#8804;&uml;&raquo;&sect;#8804;&laquo;/mo&raquo;&laquo;mrow data-semantic-type=&uml;infixop&uml; data-semantic-role=&uml;implicit&uml; data-semantic-annotation=&uml;clearspeak:simple;clearspeak:unit&uml; data-semantic-=&uml;&uml; data-semantic-children=&uml;5,6&uml; data-semantic-content=&uml;8&uml; data-semantic-parent=&uml;10&uml;&raquo;&laquo;mn data-semantic-type=&uml;number&uml; data-semantic-role=&uml;integer&uml; data-semantic-font=&uml;normal&uml; data-semantic-annotation=&uml;clearspeak:simple&uml; data-semantic-=&uml;&uml; data-semantic-parent=&uml;9&uml;&raquo;2&laquo;/mn&raquo;&laquo;mo data-semantic-type=&uml;operator&uml; data-semantic-role=&uml;multiplication&uml; data-semantic-=&uml;&uml; data-semantic-parent=&uml;9&uml; data-semantic-added=&uml;true&uml; data-semantic-operator=&uml;infixop,&sect;#8290;&uml;&raquo;&sect;#8290;&laquo;/mo&raquo;&laquo;mi data-semantic-type=&uml;identifier&uml; data-semantic-role=&uml;greekletter&uml; data-semantic-font=&uml;italic&uml; data-semantic-annotation=&uml;clearspeak:simple&uml; data-semantic-=&uml;&uml; data-semantic-parent=&uml;9&uml;&raquo;&sect;#960;&laquo;/mi&raquo;&laquo;/mrow&raquo;&laquo;/mrow&raquo;&laquo;mo data-mjx-texclass=&uml;CLOSE&uml; data-semantic-type=&uml;fence&uml; data-semantic-role=&uml;close&uml; data-semantic-=&uml;&uml; data-semantic-parent=&uml;11&uml; data-semantic-operator=&uml;fenced&uml;&raquo;)&laquo;/mo&raquo;&laquo;/mrow&raquo;&laquo;/math&raquo;"" /></span>.</span>&nbsp;Do NOT use a calculator.</p>
<p>&nbsp;</p>
<p><img id=""mce_3"" class=""Wirisformula"" style=""max-width: none; vertical-align: -12px;"" src=""/pluginwiris_engine/app/showimage?formula=2bb546a1f3b5f4e2223b91a66cb3f8df&amp;cw=90&amp;ch=35&amp;cb=23"" width=""90"" height=""35"" align=""middle"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mi&raquo;sin&laquo;/mi&raquo;&laquo;mi&raquo;&sect;#952;&laquo;/mi&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;=&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#8208;&laquo;/mo&raquo;&laquo;mfrac&raquo;&laquo;mn&raquo;1&laquo;/mn&raquo;&laquo;mn&raquo;2&laquo;/mn&raquo;&laquo;/mfrac&raquo;&laquo;/math&raquo;"" /></p>
<p>&nbsp;</p>
<p><img id=""mce_4"" class=""Wirisformula"" style=""max-width: none; vertical-align: -4px;"" src=""/pluginwiris_engine/app/showimage?formula=3c618b808a6b8f670d7eefb55586297f&amp;cw=66&amp;ch=16&amp;cb=12"" width=""66"" height=""16"" align=""middle"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mi&raquo;&sect;#952;&laquo;/mi&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;=&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;menclose notation=&uml;bottom&uml;/&raquo;&laquo;menclose notation=&uml;bottom&uml;/&raquo;&laquo;menclose notation=&uml;bottom&uml;/&raquo;&laquo;/math&raquo;"" /></p>
<p>&nbsp;</p>
<p>What is the smaller solution in degrees?</p>
<p>&nbsp;</p>
<p>Do not include units (degrees) in your answer.</p>",,,,,,,,,,210
308796,1701575.0,PRABKJYK,1199988.0,PSABBRGJ,,8-8 Factoring by Grouping,Textbook Curricula,Pearson (Prentice-Hall),HS: Algebra I,https://app.assistments.org/find/lv/lesson/329638/966960,,,choose_1,<p>Page 531 #5</p>,8.0,7.0,87.5,Yes,1.0,,,,,No
424558,996936.0,PRAZJV8,663677.0,PSAPHYK,,Chapter 10 - Chapter Review,Textbook Curricula,Big Ideas Learning,Grade 8: Blue (2014),https://app.assistments.org/find/lv/lesson/328649/364879,,,old_algebra,"<p>Page 456 #14</p>
<p>Use the ^ symbol to represent an exponent</p>
<p>For Example: 5<sup>2</sup> would be written as 5^2</p>",,,,,,,,,,216c^2
271930,1990061.0,PRABSJ4D,1378852.0,PSABVPJM,Student Facing Tasks,"3.7 Lesson 2 Attributes of Triangles and Quadrilaterals (3.G.A.1,3.NBT.A.3)",Open Up Resources,Grade 3,Unit 7 - Two-Dimensional Shapes and Perimeter,https://app.assistments.org/find/lv/lesson/366449/1471549,3.NBT.A.3,Multiply One-Digit Whole Numbers by Multiples of 10 Using Place Value Strategies,open_response,<p>Explain your reasoning.</p>,,,,,,,,,,
144463,1224343.0,PRA3S9B,730330.0,PSAQWX8,Problem Set,7.4 Lesson 3 (7.RP.2.c),EngageNY/Eureka Math (© by Great Minds®) *,Grade 7,Module 4 - Percent and Proportional Relationships,https://app.assistments.org/find/lv/lesson/356144/406191,7.RP.A.3,Use Proportional Relationships to Solve Ratio & Percent Problems,choose_1,"<p>Which animal has 80% of the number of another animal?</p>
<p>&nbsp;</p>",2152.0,1159.0,53.9,The number of dogs is 80% the number of cats.,365.0,The number of snakes is 80% the number of parakeets.,324.0,The number of parakeets is 80% the number of dogs.,237.0,The number of cats is 80% the number of dogs.
276958,1916564.0,PRABDZKJ,1034323.0,PSA58A8,Exit Ticket,"1.2 Lesson 20 (1.OA.B.4, 1.OA.B.6, 1.OA.D.7)",EngageNY/Eureka Math (© by Great Minds®) *,Grade 1,Module 2 - Introduction to Place Value Through Addition and Subtraction Within 20,https://app.assistments.org/find/lv/lesson/356430/802464,1.OA.B.4,Understand Subtraction as an Unknown-Added Problem,open_response,"<p>Show your work by&nbsp;using&nbsp;drawings or number bonds.</p>
<p>&nbsp;</p>
<p><span style=""font-weight: 400;"">Draw your work on paper, take a picture, and upload it using the image upload icon&nbsp;<img id=""mce_1"" src=""/images/assistments/437979.jpg"" alt="""" width=""34"" height=""29"" /></span></p>
<p>&nbsp;</p>
<p><span style=""font-weight: 400;"">If you do not have the ability to upload an image of your work type ""Work is on paper.""</span></p>",395.0,7.0,1.8,,,,,,,
28250,1599521.0,PRABG3E7,1125483.0,PSABH7CD,Student Facing Tasks,6.2 Lesson 15 (6.RP.A.3),Kendall Hunt Illustrative Mathematics,Grade 6,Unit 2 - Introducing Ratios,https://app.assistments.org/find/lv/lesson/351055/1159031,6.RP.A.3a,Create Tables to Compare Equivalent Ratios,open_response,"<p>14. When the solution to the problem you invented is being shared by another group,&nbsp;check their answer for accuracy.</p>",229.0,0.0,0.0,,,,,,,
126527,1094880.0,PRA32MG,737403.0,PSAQ63B,,(3.MD.A.2) Mass and Volume Word Problems Skill Builder,Skill Builders,Grade 3,(MD) Measurement & Data,https://app.assistments.org/find/lv/lesson/367225/413975,3.MD.A.2,Solve Word Problems Involving Mass & Volume,old_algebra,"<p><span style=""color: #000000;""><span style=""color: #000000;"">Lina has a <span style=""color: #000000;"">microwave</span> that is&nbsp;five times the weight of <span style=""color: #000000;"">Danny</span>'s <span style=""color: #000000;"">microwave</span>.</span> Danny's microwave weighs 5 kilograms. How many kilograms does <span style=""color: #000000;"">Lina</span>'s <span style=""color: #000000;"">microwave weigh</span>?</span></p>",21.0,12.0,57.1,10,1.0,1,1.0,30,1.0,25
339432,2014877.0,PRABS2AS,1392504.0,PSABS76B,Student Facing Tasks,"1.7 Lesson 15 Write Times (1.MD.B.3, 1.NBT.A.1, 1.OA.D.7)",Kendall Hunt Illustrative Mathematics,Grade 1,Unit 7 - Geometry and Time,https://app.assistments.org/find/lv/lesson/361213/1398132,"1.MD.B.3, 1.NBT.A.1","Count, Read & Write Up to 120 Starting at a Given Number , Write & Tell Time From Analog/Digital Clocks In Hours & Half Hours",numeric,"<p>Synthesis:</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><img src=""/images/assistments/478936.jpg"" width=""222"" height=""289"" /></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>Fill in blank A.&nbsp;</p>
<p>&nbsp;</p>",,,,,,,,,,2
45104,1469147.0,PRABDYEU,1033216.0,PSA57ZX,Practice Problems,"8.1 Lesson 7: No Bending or Streteching (8.G.A.1, 8.G.A.1.b)",Open Up Resources,Grade 8,Unit 1 - Rigid Transformations and Congruence,https://app.assistments.org/find/lv/lesson/355660/802176,8.G.A.1b,Apply the Properties of Transformations to Angles,choose_1,"<p>Is there a rigid transformation taking Rhombus P to Rhombus Q?&nbsp;</p>
<p>&nbsp;</p>
<p><img id=""mce_1"" src=""/images/assistments/145777.jpg"" width=""288"" height=""110"" /></p>",13477.0,8219.0,61.0,A. Yes,9750.0,C. Not enough information,3582.0,,,B. No
290414,2028569.0,PRABS873,1399147.0,PSABTCHQ,Diagnostic,"High School Acceleration, Algebra 1 A-REI.A.1",LDOE Accelerate Resources,High School,Algebra 1,https://app.assistments.org/find/lv/lesson/362198/1402329,7.EE.B.4a-1,Solve 2-Step Equations,numeric,"<p><span style=""font-weight: 400;"">Solve&nbsp;the equation.&nbsp;</span></p>
<p>&nbsp;</p>
<p><span style=""font-weight: 400;""><img class=""Wirisformula"" style=""max-width: none; vertical-align: -1px;"" src=""/pluginwiris_engine/app/showimage?formula=2e8fdb0917f74466cc7b01f7b0847332&amp;cw=101&amp;ch=13&amp;cb=12"" width=""101"" height=""13"" align=""middle"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mn&raquo;6&laquo;/mn&raquo;&laquo;mi&raquo;n&laquo;/mi&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;-&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mn&raquo;5&laquo;/mn&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;=&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mn&raquo;37&laquo;/mn&raquo;&laquo;/math&raquo;"" /></span></p>
<p>&nbsp;</p>
<p><span style=""font-weight: 400;"">n = ___________</span></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p style=""text-align: right;""><span style=""font-weight: 400; font-size: 8pt;""><a class=""waffle-rich-text-link"" href=""https://www.engageny.org/"">Modified from EngageNY &copy;GreatMinds</a></span></p>",69.0,57.0,82.6,17,3.0,16/3,1.0,2,1.0,7
253678,1714769.0,PRABKWFU,1210071.0,PSABB57A,,10-4 Solving Radical Equations,Textbook Curricula,Pearson (Prentice-Hall),HS: Algebra I,https://app.assistments.org/find/lv/lesson/329636/979166,,,numeric,"<p>Page 637 #46</p>
<p>&nbsp;</p>
<p>one solution:</p>",,,,,,,,,,"1, 6"
177402,1501069.0,PRABEPEA,1054341.0,PSA6N5C,Practice Problems,8.7 Lesson 6: What about other Bases? (8.EE.A.1),Open Up Resources,Grade 8,Unit 7 - Exponents and Scientific Notation,https://app.assistments.org/find/lv/lesson/355773/815736,8.EE.A.1-2,Know & Apply Quotient of Powers,numeric_expression,"<p>Write the expression using a single exponent.</p>
<div id=""practice_problem__statement"" class=""content-section"">
<div id=""practice_problem__statement"" class=""content-section"">
<p>&nbsp;</p>
<p><img class=""Wirisformula"" style=""max-width: none; vertical-align: -15px;"" src=""/pluginwiris_engine/app/showimage?formula=c06347b4f6871ec4e2d9051bbf496d99&amp;cw=26&amp;ch=42&amp;cb=27"" width=""26"" height=""42"" align=""middle"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mfrac&raquo;&laquo;msup&raquo;&laquo;mn&raquo;5&laquo;/mn&raquo;&laquo;mn&raquo;3&laquo;/mn&raquo;&laquo;/msup&raquo;&laquo;msup&raquo;&laquo;mn&raquo;5&laquo;/mn&raquo;&laquo;mn&raquo;6&laquo;/mn&raquo;&laquo;/msup&raquo;&laquo;/mfrac&raquo;&laquo;/math&raquo;"" /></p>
<p>&nbsp;</p>
<p><span style=""font-weight: 400;"">Use the ^ symbol to represent an exponent.</span></p>
<p><br /><span style=""font-weight: 400;"">For example: 5</span><sup><span style=""font-weight: 400;"">2</span></sup><span style=""font-weight: 400;"">&nbsp;should be typed as 5^2</span></p>
<p>&nbsp;</p>
</div>
</div>",8357.0,4886.0,58.5,5^3,3870.0,5^9,1707.0,5^2,438.0,5^-3
420082,1013164.0,PRAZXV6,675207.0,PSAPMSW,,Lesson 6.2 Representing Functions,Textbook Curricula,Houghton-Mifflin-Harcourt,Math in Focus,https://app.assistments.org/find/lv/lesson/329665/367586,,,open_response,"<p>Page 110 #9b</p>
<p>What information do the values for slope and y-intercept give you?</p>",,,,,,,,,,
356985,1424218.0,PRABCUQ2,999866.0,PSA4PXR,Problem Set,"Precalculus, M3, Lesson 14 (F.IF.C.7.D)",EngageNY/Eureka Math (© by Great Minds®) *,Pre-Calculus and Advanced Topics,Module 3 - Complex Roots of Polynomial Functions,https://app.assistments.org/find/lv/lesson/358105/756941,HSF.IF.C.7d,Graph Rational Functions,open_response,<p>d.&nbsp; Summarize what you have discovered in parts (b) and (c).</p>,1.0,0.0,0.0,,,,,,,
463061,1965634.0,PRABR3TD,1364158.0,PSABR8TX,,3.5 Lesson 12 Sprint - Side A,EngageNY/Eureka Math (© by Great Minds®) *,Grade 3,Fluency Support,https://app.assistments.org/find/lv/lesson/364944/1368980,3.OA.A.1,Interpret Products of Whole Numbers,numeric,"<p>8 x 9 = __</p>
<p>&nbsp;</p>
<p style=""text-align: right;""><span style=""font-size: 8pt;"">Modified from&nbsp;<a class=""waffle-rich-text-link"" href=""https://www.engageny.org/"">EngageNY</a>&nbsp;&copy;Great Minds<a class=""waffle-rich-text-link"" href=""https://new.assistments.org/curricula/great-minds"">&nbsp;Disclaime</a>r</span></p>",11.0,11.0,100.0,,,,,,,72
180266,1598157.0,PRABG2KY,1124670.0,PSA9D62,Student Facing Tasks,6.2 Lesson 5: Defining Equivalent Ratios (6.RP.A.1),Open Up Resources,Grade 6,Unit 2 - Introducing Ratios,https://app.assistments.org/find/lv/lesson/354906/897473,6.RP.A.3a,Create Tables to Compare Equivalent Ratios,open_response,"<p>15. Write another ratio that is equivalent to the ratio&nbsp;<span id=""MathJax-Element-74-Frame"" class=""MathJax"" tabindex=""-1""><span id=""MathJax-Span-409"" class=""math""><span id=""MathJax-Span-410"" class=""mrow""><span id=""MathJax-Span-411"" class=""mn"">4</span><span id=""MathJax-Span-412"" class=""mo"">:</span><span id=""MathJax-Span-413"" class=""mn"">6</span></span></span></span>.</p>
<p>&nbsp;</p>
<p><span style=""font-size: 8pt;""><strong>copied for free from openupresources.org</strong></span></p>",667.0,56.0,8.4,,,,,,,
